type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　嗅,4.746秒,2,0,0,0,0,0,5.223999007105285,4.6252441032942055
IPQ,1,2,視聴触　,7.91秒,2,0,0,0,0,0,5.223999007105285,4.6252441032942055
IPQ,2,1,視聴　　,9.426秒,2,0,0,0,0,0,5.223999007105285,4.6252441032942055
IPQ,2,1,視聴　　,17.437秒,3,1,129,0,5.652465820312502,4.416503906249984,134.6524658203125,4.416503906249984
IPQ,2,1,視聴　　,23.673秒,4,3,224,0,10.261230468745106,8.574829101560114,234.2612304687451,8.574829101560114
IPQ,2,1,視聴　　,32.822秒,5,6,406,0,13.029785156249439,12.980346679687191,419.02978515624943,12.980346679687191
IPQ,2,1,視聴　　,42.686秒,6,7,586,0,15.21057128906163,15.600585937499616,601.2105712890616,15.600585937499616
IPQ,2,1,視聴　　,51.822秒,7,9,745,0,17.94616699218649,19.198141694068614,762.9461669921865,19.198141694068614
IPQ,2,1,視聴　　,60.536秒,8,12,927,0,19.599609365156002,21.632080068281798,946.599609365156,21.632080068281798
IPQ,2,1,視聴　　,65.789秒,9,13,1021,0,20.725707997968577,23.13171323630474,1041.7257079979686,23.13171323630474
IPQ,2,1,視聴　　,75.389秒,10,14,1208,0,23.35144041065168,26.477050137243204,1231.3514404106518,26.477050137243204
IPQ,2,1,視聴　　,82.486秒,11,16,1314,0,25.515726391226423,29.245563499420687,1339.5157263912265,29.245563499420687
IPQ,2,1,視聴　　,91.56秒,12,17,1472,0,27.515258778646185,32.34374936413456,1499.5152587786463,32.34374936413456
IPQ,2,1,視聴　　,99.339秒,13,18,1646,0,29.569695919153073,35.277080375994785,1675.569695919153,35.277080375994785
IPQ,2,1,視聴　　,108.786秒,14,20,1819,0,32.80456873714574,39.91039249085098,1851.8045687371457,39.91039249085098
IPQ,2,1,視聴　　,118.486秒,15,22,2003,0,35.37597028643468,43.85740247498714,2038.3759702864347,43.85740247498714
IPQ,2,1,視聴　　,125.526秒,16,23,2150,0,37.32046156282468,46.83998087795625,2187.3204615628247,46.83998087795625
IPQ,2,1,視聴　　,130.307秒,17,24,2251,0,39.50133245553228,50.811696082520534,2290.501332455532,50.811696082520534
IPQ,2,1,視聴　　,137.921秒,18,25,2422,0,43.69925611531203,55.40518161932138,2465.699256115312,55.40518161932138
IPQ,2,1,視聴　　,149.813秒,19,32,2629,0,48.558752114025815,61.05600241552003,2677.558752114026,61.05600241552003
IPQ,2,1,視聴　　,160.990秒,20,34,2836,0,51.97170269527959,66.05887354666176,2887.9717026952794,66.05887354666176
IPQ,2,1,視聴　　,170.456秒,21,36,3028,0,55.45584837131662,71.03352375827056,3083.4558483713167,71.03352375827056
IPQ,2,1,視聴　　,180.666秒,22,49,3196,0,60.520631727316456,77.4381233375807,3256.5206317273164,77.4381233375807
IPQ,2,1,視聴　　,197.38秒,23,57,3398,0,70.30943555979502,92.3795128775559,3468.309435559795,92.3795128775559
IPQ,2,1,視聴　　,205.258秒,24,58,3575,0,74.33489921525386,99.24592367626495,3649.3348992152537,99.24592367626495
