type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴触嗅,5.303秒,1,1,0,0,0,0,0,0
IPQ,1,1,視聴触嗅,12.956秒,2,2,72,0,1.620483398437497,3.026733398437499,73.6204833984375,3.026733398437499
IPQ,1,1,視聴触嗅,21.38秒,3,3,187,0,5.020442417332072,7.407184925229826,192.02044241733208,7.407184925229826
IPQ,1,1,視聴触嗅,28.138秒,4,4,327,0,6.201782029417649,10.222778318940682,333.20178202941764,10.222778318940682
IPQ,1,1,視聴触嗅,36.394秒,5,5,496,0,7.859258454609179,13.838138578989817,503.8592584546092,13.838138578989817
IPQ,1,1,視聴触嗅,42.804秒,6,6,583,0,10.025023480370725,17.797850480870213,593.0250234803707,17.797850480870213
IPQ,1,1,視聴触嗅,51.522秒,7,7,770,0,11.530150728121768,21.74743622747815,781.5301507281217,21.74743622747815
IPQ,1,1,視聴触嗅,61.957秒,8,10,913,0,14.507114762994874,26.343049001925316,927.5071147629949,26.343049001925316
IPQ,1,1,視聴触嗅,69.107秒,9,11,1038,0,15.5177957552335,29.560065213059087,1053.5177957552335,29.560065213059087
IPQ,1,1,視聴触嗅,76.725秒,10,12,1169,0,16.874998786317732,33.16017571477903,1185.8749987863177,33.16017571477903
IPQ,1,1,視聴触嗅,83.707秒,11,13,1299,0,18.220823981163235,36.07704582495833,1317.2208239811632,36.07704582495833
IPQ,1,1,視聴触嗅,93.338秒,12,16,1390,0,21.066191510604067,40.53739052376406,1411.066191510604,40.53739052376406
IPQ,1,1,視聴触嗅,100.658秒,13,17,1538,0,22.609862067100057,43.75099602025067,1560.6098620671,43.75099602025067
IPQ,1,1,視聴触嗅,107.857秒,14,18,1687,0,23.647678566277097,46.56310340713441,1710.6476785662771,46.56310340713441
IPQ,1,1,視聴触嗅,120.692秒,15,21,1869,0,33.046825638420145,53.10035621932622,1902.0468256384202,53.10035621932622
IPQ,1,1,視聴触嗅,127.194秒,16,22,1971,0,35.5187879272015,55.901873820972504,2006.5187879272014,55.901873820972504
IPQ,1,1,視聴触嗅,136.373秒,17,25,2055,0,44.181505725232654,61.21376345024503,2099.1815057252325,61.21376345024503
IPQ,1,1,視聴触嗅,143.242秒,18,26,2152,0,45.99424729120831,64.47313871273316,2197.9942472912085,64.47313871273316
IPQ,1,1,視聴触嗅,149.341秒,19,27,2233,0,47.98826587008392,67.05492578320873,2280.988265870084,67.05492578320873
IPQ,1,1,視聴触嗅,156.601秒,20,28,2382,0,49.261812452863104,69.98166373945969,2431.261812452863,69.98166373945969
IPQ,1,1,視聴触嗅,163.112秒,21,29,2508,0,51.31467211636216,72.33384979132637,2559.314672116362,72.33384979132637
IPQ,1,1,視聴触嗅,170.761秒,22,31,2591,0,55.35212233431069,75.47555095429053,2646.3521223343105,75.47555095429053
IPQ,1,1,視聴触嗅,180.409秒,23,33,2745,0,57.7910810531031,78.67804875959146,2802.791081053103,78.67804875959146
IPQ,1,1,視聴触嗅,188.26秒,24,34,2897,0,60.631790594919615,82.96495494031478,2957.6317905949195,82.96495494031478
IPQ,1,1,視聴触嗅,194.175秒,25,35,2984,0,63.43153534124103,88.2898738600861,3047.431535341241,88.2898738600861
IPQ,1,1,視聴触嗅,201.856秒,26,36,3085,0,66.41733476969856,91.72886243441678,3151.4173347696988,91.72886243441678
