type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　　,2.915秒,2,0,0,0,0,0,0.20781221624922663,0.7951167618739321
IPQ,1,1,視聴　　,21.126秒,3,2,69,0,3.372802734079367,5.592041015329419,72.37280273407937,5.592041015329419
IPQ,1,1,視聴　　,26.860秒,4,3,183,0,4.696637798033198,8.00348770158998,187.6966377980332,8.00348770158998
IPQ,1,1,視聴　　,36.658秒,5,5,392,0,6.2059020441812915,10.85689536847868,398.2059020441813,10.85689536847868
IPQ,1,1,視聴　　,45.95秒,6,7,552,0,15.540159973776259,17.31994621072582,567.5401599737762,17.31994621072582
IPQ,1,1,視聴　　,55.26秒,7,9,689,0,23.290981351223653,22.395622355156544,712.2909813512236,22.395622355156544
IPQ,1,1,視聴　　,59.644秒,8,10,766,0,24.00509267933942,23.642570595764152,790.0050926793394,23.642570595764152
IPQ,1,1,視聴　　,68.492秒,9,12,921,0,25.576127802471547,25.916701306214556,946.5761278024715,25.916701306214556
IPQ,1,1,視聴　　,77.995秒,10,13,1139,0,27.449306546526433,28.36119832255287,1166.4493065465265,28.36119832255287
IPQ,1,1,視聴　　,86.758秒,11,15,1314,0,29.377407102968338,30.256339924116457,1343.3774071029684,30.256339924116457
IPQ,1,1,視聴　　,92.177秒,12,16,1417,0,30.304359802237116,31.430485006162556,1447.304359802237,31.430485006162556
IPQ,1,1,視聴　　,101.695秒,13,18,1652,0,32.232129096070906,34.33994816361448,1684.2321290960708,34.33994816361448
IPQ,1,1,視聴　　,117.460秒,14,23,1900,0,37.47981101529911,39.16075886903015,1937.4798110152992,39.16075886903015
IPQ,1,1,視聴　　,123.677秒,15,24,2005,0,43.18171514904049,42.214957971257036,2048.1817151490404,42.214957971257036
IPQ,1,1,視聴　　,129.980秒,16,25,2135,0,45.406442340900924,45.84043900624793,2180.406442340901,45.84043900624793
IPQ,1,1,視聴　　,139.44秒,17,26,2354,0,49.29789252484119,48.72837340604441,2403.2978925248412,48.72837340604441
IPQ,1,1,視聴　　,147.194秒,18,27,2540,0,50.58099694426765,50.89963228320838,2590.5809969442676,50.89963228320838
IPQ,1,1,視聴　　,157.14秒,19,29,2729,0,52.68589275743716,53.805027372561646,2781.685892757437,53.805027372561646
IPQ,1,1,視聴　　,169.243秒,20,32,2931,0,57.08037918996801,57.76991745016899,2988.080379189968,57.76991745016899
IPQ,1,1,視聴　　,177.914秒,21,33,3140,0,61.2272053591565,61.195750085935295,3201.2272053591564,61.195750085935295
IPQ,1,1,視聴　　,189.169秒,22,34,3283,0,67.08837304373789,65.13548033687692,3350.088373043738,65.13548033687692
