type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　　,2.144秒,1,1,0,0,0,0,0,0
IPQ,1,2,視　触　,11.332秒,1,1,0,0,0,0,0,0
IPQ,1,2,視　触　,19.172秒,2,2,74,0,0.5863953510671884,1.764679129868759,74.58639535106718,1.764679129868759
IPQ,1,2,視　触　,28.186秒,3,3,244,0,2.9937713951680553,5.273397369804992,246.99377139516807,5.273397369804992
IPQ,1,2,視　触　,37.461秒,4,4,432,0,5.213012776801573,8.596801932603102,437.2130127768016,8.596801932603102
IPQ,1,2,視　触　,43.106秒,5,5,521,0,6.421503965160164,11.074207153021957,527.4215039651601,11.074207153021957
IPQ,1,2,視　触　,51.700秒,6,6,674,0,9.151611407465198,14.957885909367151,683.1516114074652,14.957885909367151
IPQ,1,2,視　触　,63.215秒,7,8,878,0,12.91992191938185,20.225830245304483,890.9199219193819,20.225830245304483
IPQ,1,2,視　触　,70.939秒,8,9,1019,0,15.69946293494753,24.433593917179365,1034.6994629349476,24.433593917179365
IPQ,1,2,視　触　,79.599秒,9,10,1199,0,17.457275434945554,28.187720942782526,1216.4572754349456,28.187720942782526
IPQ,1,2,視　触　,87.281秒,10,11,1338,0,19.35791020057056,31.360473673977136,1357.3579102005706,31.360473673977136
IPQ,1,2,視　触　,95.565秒,11,12,1481,0,22.049560590641363,34.716796916186055,1503.0495605906412,34.716796916186055
IPQ,1,2,視　触　,105.547秒,12,13,1674,0,24.202532887485436,38.82568362902897,1698.2025328874854,38.82568362902897
IPQ,1,2,視　触　,114.147秒,13,14,1823,0,26.213030934358358,41.846923863399894,1849.2130309343584,41.846923863399894
IPQ,1,2,視　触　,121.281秒,14,15,1961,0,27.84449992410516,45.66467134004601,1988.844499924105,45.66467134004601
IPQ,1,2,視　触　,129.778秒,15,17,2081,0,30.73386552952046,49.95465764227389,2111.7338655295202,49.95465764227389
IPQ,1,2,視　触　,136.478秒,16,18,2214,0,32.266497497929514,52.75085452745827,2246.2664974979293,52.75085452745827
IPQ,1,2,視　触　,144.594秒,17,19,2354,0,34.518694763442845,56.39282230080593,2388.518694763443,56.39282230080593
IPQ,1,2,視　触　,152.644秒,18,20,2494,0,36.540179137869494,59.41955569081156,2530.5401791378695,59.41955569081156
IPQ,1,2,視　触　,159.576秒,19,21,2623,0,38.06727874724343,62.11669924549822,2661.0672787472436,62.11669924549822
IPQ,1,2,視　触　,169.508秒,20,22,2816,0,39.58339202844785,64.98962403359039,2855.5833920284476,64.98962403359039
IPQ,1,2,視　触　,181.355秒,21,25,2967,0,44.24708831736458,71.35070801796277,3011.2470883173646,71.35070801796277
IPQ,1,2,視　触　,189.723秒,22,26,3113,0,46.532244567101365,75.22338868162852,3159.5322445671013,75.22338868162852
IPQ,1,2,視　触　,199.356秒,23,27,3304,0,49.36122392791585,78.73352009845547,3353.361223927916,78.73352009845547
IPQ,1,2,視　触　,205.305秒,24,28,3399,0,50.888309489670675,81.61193805737234,3449.8883094896705,81.61193805737234
IPQ,1,2,視　触　,213.486秒,25,30,3501,0,54.14026245875648,85.47912476443666,3555.1402624587563,85.47912476443666
