type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　嗅,2.182秒,2,0,0,0,0,0,4.641723632812509,3.0816650390624734
IPQ,1,2,視聴触　,9.436秒,2,0,0,0,0,0,4.641723632812509,3.0816650390624734
IPQ,2,1,視　　嗅,11.915秒,2,0,0,0,0,0,4.641723632812509,3.0816650390624734
IPQ,2,2,視　　　,17.200秒,2,0,0,0,0,0,4.641723632812509,3.0816650390624734
IPQ,2,2,視　　　,22.206秒,3,1,18,0,1.1921267130881512,1.4617321982532787,19.19212671308815,1.4617321982532787
IPQ,2,2,視　　　,30.106秒,4,2,177,0,3.301501713048702,4.0874646201183875,180.3015017130487,4.0874646201183875
IPQ,2,2,視　　　,37.739秒,5,3,307,0,5.526233158400691,7.616819428980337,312.5262331584007,7.616819428980337
IPQ,2,2,視　　　,47.579秒,6,4,495,0,8.365885418938971,11.052574546538047,503.36588541893894,11.052574546538047
IPQ,2,2,視　　　,53.593秒,7,5,576,0,10.810656986525613,13.200623799815473,586.8106569865256,13.200623799815473
IPQ,2,2,視　　　,62.893秒,8,6,752,0,13.667102299025466,15.941712667002843,765.6671022990255,15.941712667002843
IPQ,2,2,視　　　,73.725秒,9,8,890,0,16.946521244337585,19.764954854502584,906.9465212443375,19.764954854502584
IPQ,2,2,視　　　,81.42秒,10,9,1023,0,19.03941675215,22.379700948252424,1042.03941675215,22.379700948252424
IPQ,2,2,視　　　,92.708秒,11,11,1203,0,22.214465580274805,26.54901247168974,1225.214465580275,26.54901247168974
IPQ,2,2,視　　　,100.92秒,12,12,1331,0,27.44395775282536,29.97674669937656,1358.4439577528253,29.97674669937656
IPQ,2,2,視　　　,108.124秒,13,13,1469,0,31.04747337432562,32.73980837012646,1500.0474733743256,32.73980837012646
IPQ,2,2,視　　　,114.825秒,14,14,1592,0,32.86021751845,35.34356767016693,1624.86021751845,35.34356767016693
IPQ,2,2,視　　　,123.891秒,15,15,1764,0,35.216366821562204,38.69949605930518,1799.2163668215621,38.69949605930518
IPQ,2,2,視　　　,131.353秒,16,16,1891,0,37.40855710030755,41.167694081760274,1928.4085571003075,41.167694081760274
IPQ,2,2,視　　　,139.224秒,17,17,2037,0,39.36412350648664,43.868957509072686,2076.3641235064865,43.868957509072686
IPQ,2,2,視　　　,148.291秒,18,18,2215,0,41.92943112367318,47.362609852811495,2256.929431123673,47.362609852811495
IPQ,2,2,視　　　,163.591秒,19,21,2407,0,46.65353016649405,53.63007855279154,2453.653530166494,53.63007855279154
IPQ,2,2,視　　　,174.8秒,20,23,2548,0,50.504232318025565,58.09625243090518,2598.5042323180255,58.09625243090518
IPQ,2,2,視　　　,183.425秒,21,24,2728,0,53.17391005237493,61.53497313393751,2781.173910052375,61.53497313393751
IPQ,2,2,視　　　,196.507秒,22,28,2826,0,57.27730360706093,66.35792932563358,2883.2773036070607,66.35792932563358
