type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴触嗅,2.132秒,2,0,0,0,0,0,0.9914819976716065,0.7140989223203918
IPQ,1,2,視　触嗅,5.983秒,2,0,0,0,0,0,0.9914819976716065,0.7140989223203918
IPQ,1,2,視　触嗅,23.777秒,3,1,61,0,2.5843620300293186,4.111740589141828,63.58436203002932,4.111740589141828
IPQ,1,2,視　触嗅,31.396秒,4,2,220,0,4.2517089827140016,6.915893554133717,224.251708982714,6.915893554133717
IPQ,1,2,視　触嗅,39.807秒,5,3,399,0,5.7788085937500036,9.876708984374815,404.77880859375,9.876708984374815
IPQ,1,2,視　触嗅,46.324秒,6,4,525,0,7.058715820148821,12.568359374719146,532.0587158201488,12.568359374719146
IPQ,1,2,視　触嗅,61.74秒,7,12,657,0,13.39782714843738,23.46679687499959,670.3978271484374,23.46679687499959
IPQ,1,2,視　触嗅,76.174秒,8,17,877,0,24.032592773139136,35.28259277343676,901.0325927731392,35.28259277343676
IPQ,1,2,視　触嗅,83.592秒,9,19,981,0,27.86682128876417,38.529052734373444,1008.8668212887642,38.529052734373444
IPQ,1,2,視　触嗅,89.843秒,10,20,1089,0,33.2556152340765,46.68090820312314,1122.2556152340765,46.68090820312314
IPQ,1,2,視　触嗅,97.974秒,11,22,1225,0,36.859130859074874,50.43805822195345,1261.8591308590749,50.43805822195345
IPQ,1,2,視　触嗅,105.660秒,12,23,1400,0,38.831011590223355,53.07455674890147,1438.8310115902234,53.07455674890147
IPQ,1,2,視　触嗅,112.209秒,13,24,1541,0,41.176755329091094,56.05206847955416,1582.176755329091,56.05206847955416
IPQ,1,2,視　触嗅,118.842秒,14,25,1690,0,42.83569335907289,58.914010370388475,1732.8356933590728,58.914010370388475
IPQ,1,2,視　触嗅,124.609秒,15,26,1807,0,44.04968261688469,61.0288785344484,1851.0496826168846,61.0288785344484
IPQ,1,2,視　触嗅,136.842秒,16,29,2005,0,47.338317629743656,66.401192987571,2052.338317629744,66.401192987571
IPQ,1,2,視　触嗅,142.259秒,17,30,2089,0,49.23895239536831,69.27961095631973,2138.2389523953684,69.27961095631973
IPQ,1,2,視　触嗅,152.207秒,18,32,2274,0,51.6339306341723,73.77838844803796,2325.6339306341724,73.77838844803796
IPQ,1,2,視　触嗅,160.542秒,19,33,2453,0,53.93560766818122,76.59650401609359,2506.935607668181,76.59650401609359
IPQ,1,2,視　触嗅,171.740秒,20,36,2614,0,57.520787764740795,81.49524780865417,2671.520787764741,81.49524780865417
IPQ,1,2,視　触嗅,181.940秒,21,38,2800,0,60.96136450411623,86.30841955001219,2860.9613645041163,86.30841955001219
IPQ,1,2,視　触嗅,190.76秒,22,39,2982,0,64.43853733701224,90.691964378559,3046.4385373370123,90.691964378559
