type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,2,視聴触　,4.403秒,1,1,0,0,0,0,0,0
IPQ,2,2,視　触　,25.135秒,1,1,0,0,0,0,0,0
IPQ,2,2,視　触　,33.989秒,2,2,70,0,2.323608397610613,2.433471662892118,72.32360839761061,2.433471662892118
IPQ,2,2,視　触　,62.643秒,3,3,147,0,34.661627178155804,15.430297837471219,181.6616271781558,15.430297837471219
IPQ,2,2,視　触　,70.589秒,4,4,295,0,37.342254034033424,19.04477889910747,332.34225403403343,19.04477889910747
IPQ,2,2,視　触　,85.311秒,5,5,438,0,40.636796790040975,24.25145737840478,478.636796790041,24.25145737840478
IPQ,2,2,視　触　,93.491秒,6,6,587,0,44.010035534377266,27.569264333562746,631.0100355343773,27.569264333562746
IPQ,2,2,視　触　,109.228秒,7,9,720,0,52.165247468497505,33.65812208489554,772.1652474684975,33.65812208489554
IPQ,2,2,視　触　,120.769秒,8,11,909,0,55.67050216090682,37.754217982624525,964.6705021609068,37.754217982624525
IPQ,2,2,視　触　,129.262秒,9,12,1041,0,58.75324695139865,42.1363589158226,1099.7532469513988,42.1363589158226
IPQ,2,2,視　触　,137.221秒,10,13,1186,0,63.00106218695255,47.55344799419809,1249.0010621869526,47.55344799419809
IPQ,2,2,視　触　,153.984秒,11,16,1374,0,68.82243516125932,53.825712782934986,1442.8224351612594,53.825712782934986
IPQ,2,2,視　触　,160.625秒,12,17,1476,0,70.54212914722751,55.99243174932205,1546.5421291472276,55.99243174932205
IPQ,2,2,視　触　,172.268秒,13,18,1667,0,74.31636157702093,61.30372958431204,1741.3163615770209,61.30372958431204
IPQ,2,2,視　触　,186.638秒,14,23,1849,0,79.67512569601286,66.48179397266127,1928.6751256960129,66.48179397266127
IPQ,2,2,視　触　,195.728秒,15,25,2030,0,81.5460485005912,69.17380328194676,2111.546048500591,69.17380328194676
IPQ,2,2,視　触　,210.167秒,16,30,2211,0,84.78359821462143,73.32226460318526,2295.7835982146216,73.32226460318526
