type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視　　嗅,3.37秒,1,1,0,0,0,0,0,0
IPQ,1,1,視　　嗅,21.729秒,1,1,0,0,0,0,0,0
IPQ,1,2,視　　　,22.812秒,1,1,0,0,0,0,0,0
IPQ,2,1,視聴　　,26.128秒,1,1,0,0,0,0,0,0
IPQ,2,2,視　触　,30.418秒,1,1,0,0,0,0,0,0
IPQ,2,2,視　触　,39.528秒,2,3,40,0,10.892944335935713,11.271972656249861,50.89294433593571,11.271972656249861
IPQ,2,2,視　触　,45.321秒,3,4,116,0,19.26452636718573,16.00158691406221,135.26452636718574,16.00158691406221
IPQ,2,2,視　触　,58.155秒,4,7,317,0,28.35571289062311,26.312255859374453,345.3557128906231,26.312255859374453
IPQ,2,2,視　触　,68.56秒,5,8,488,0,42.50061035129393,48.52111816406181,530.500610351294,48.52111816406181
IPQ,2,2,視　触　,76.341秒,6,9,660,0,47.484283436484034,55.1390075683565,707.484283436484,55.1390075683565
IPQ,2,2,視　触　,89.309秒,7,15,746,0,65.62133787968567,75.82214355412346,811.6213378796857,75.82214355412346
IPQ,2,2,視　触　,98.753秒,8,18,870,0,79.99145506733893,87.7423095698339,949.991455067339,87.7423095698339
IPQ,2,2,視　触　,105.307秒,9,19,1008,0,85.85266112110389,93.3728027334163,1093.852661121104,93.3728027334163
IPQ,2,2,視　触　,110.956秒,10,20,1099,0,94.8889160038175,98.56384276590846,1193.8889160038175,98.56384276590846
IPQ,2,2,視　触　,121.156秒,11,21,1325,0,105.90270994910196,107.23754882055081,1430.902709949102,107.23754882055081
IPQ,2,2,視　触　,130.806秒,12,22,1481,0,125.91430661550535,121.87662159689984,1606.9143066155054,121.87662159689984
IPQ,2,2,視　触　,150.906秒,13,23,1642,0,146.3818249242982,144.67325023020234,1788.3818249242981,144.67325023020234
IPQ,2,2,視　触　,163.956秒,14,25,1841,0,156.2805070886988,159.63663136251625,1997.2805070886989,159.63663136251625
IPQ,2,2,視　触　,175.574秒,15,27,1992,0,164.74547287738423,171.69412647818805,2156.745472877384,171.69412647818805
IPQ,2,2,視　触　,200.989秒,16,28,2149,0,195.91917891581218,203.39517627103618,2344.919178915812,203.39517627103618
IPQ,2,2,視　触　,224.523秒,17,33,2349,0,218.12232783338078,228.3338474840461,2567.122327833381,228.3338474840461
IPQ,2,2,視　触　,256.971秒,18,42,2548,0,282.6936616416885,296.48602519033517,2830.6936616416883,296.48602519033517
IPQ,2,2,視　触　,278.238秒,19,44,2747,0,320.791971720779,336.38327783121,3067.7919717207787,336.38327783121
IPQ,2,2,視　触　,307.606秒,20,45,2992,0,416.48671810537655,374.26552878035375,3408.4867181053764,374.26552878035375
