type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　　,2.117秒,1,1,0,0,0,0,0,0
IPQ,1,1,視聴　　,15.775秒,2,7,72,0,21.412353515624595,8.93188476562473,93.4123535156246,8.93188476562473
IPQ,1,1,視聴　　,27.457秒,3,9,214,0,25.208129882810166,13.447265624990676,239.20812988281017,13.447265624990676
IPQ,1,1,視聴　　,40.542秒,4,12,361,0,29.476317835593566,20.159911411000074,390.4763178355936,20.159911411000074
IPQ,1,1,視聴　　,59.592秒,5,15,510,0,37.52929687499798,30.06958007812326,547.529296874998,30.06958007812326
IPQ,1,1,視聴　　,67.408秒,6,16,642,0,42.67639160156013,34.167480468747556,684.6763916015601,34.167480468747556
IPQ,1,1,視聴　　,74.192秒,7,17,737,0,44.725341788751386,36.837158190571515,781.7253417887514,36.837158190571515
IPQ,1,1,視聴　　,83.759秒,8,18,912,0,47.40051269530855,40.2648925781192,959.4005126953085,40.2648925781192
IPQ,1,1,視聴　　,96.192秒,9,20,1105,0,51.322631835932334,46.03820800780407,1156.3226318359323,46.03820800780407
IPQ,1,1,視聴　　,103.892秒,10,21,1235,0,54.16809082030686,49.30664062499011,1289.1680908203068,49.30664062499011
IPQ,1,1,視聴　　,110.291秒,11,22,1343,0,56.063232421868705,51.41601562498917,1399.0632324218686,51.41601562498917
IPQ,1,1,視聴　　,121.474秒,12,24,1516,0,59.25476074218037,55.953369140611784,1575.2547607421805,55.953369140611784
IPQ,1,1,視聴　　,130.808秒,13,27,1700,0,61.87499999999215,60.42480468748455,1761.874999999992,60.42480468748455
IPQ,1,1,視聴　　,138.457秒,14,29,1841,0,64.08874511716,63.380126953107975,1905.08874511716,63.380126953107975
IPQ,1,1,視聴　　,152.306秒,15,34,1999,0,68.77990721547168,68.86230464876627,2067.7799072154717,68.86230464876627
IPQ,1,1,視聴　　,161.325秒,16,35,2172,0,71.25181038543005,72.78435355274254,2243.25181038543,72.78435355274254
IPQ,1,1,視聴　　,168.758秒,17,36,2308,0,73.59191894527775,76.23413085935053,2381.591918945278,76.23413085935053
IPQ,1,1,視聴　　,182.292秒,18,38,2509,0,77.61291496212762,81.99645996090709,2586.6129149621274,81.99645996090709
IPQ,1,1,視聴　　,190.625秒,19,39,2656,0,80.11779777463813,85.81420894501709,2736.1177977746383,85.81420894501709
IPQ,1,1,視聴　　,199.424秒,20,40,2828,0,82.57324211057454,89.23645019514862,2910.5732421105745,89.23645019514862
IPQ,1,1,視聴　　,210.457秒,21,45,3005,0,86.10534660263073,93.40026855452146,3091.1053466026306,93.40026855452146
