type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,0,1,視聴　嗅,4.513秒,2,0,0,0,0,0,4.394531249999859,4.482421874999826
IPQ,1,2,視聴触　,9.220秒,2,0,0,0,0,0,4.394531249999859,4.482421874999826
IPQ,2,1,視　　嗅,11.57秒,2,0,0,0,0,0,4.394531249999859,4.482421874999826
IPQ,2,2,視　　　,15.712秒,2,0,0,0,0,0,4.394531249999859,4.482421874999826
IPQ,3,1,視聴触嗅,17.579秒,2,0,0,0,0,0,4.394531249999859,4.482421874999826
IPQ,3,2,視　触嗅,18.680秒,2,0,0,0,0,0,4.394531249999859,4.482421874999826
IPQ,4,1,視聴　　,20.235秒,2,0,0,0,0,0,4.394531249999859,4.482421874999826
IPQ,4,2,視　触　,21.431秒,2,0,0,0,0,0,4.394531249999859,4.482421874999826
IPQ,4,2,視　触　,28.256秒,3,1,24,0,6.163329979916121,8.063964352656614,30.16332997991612,8.063964352656614
IPQ,4,2,視　触　,35.441秒,4,4,160,0,8.981323242187399,11.508178710888242,168.9813232421874,11.508178710888242
IPQ,4,2,視　触　,42.793秒,5,5,339,0,10.728135444846968,14.523925536493785,349.72813544484694,14.523925536493785
IPQ,4,2,視　触　,53.104秒,6,7,529,0,15.869736994901933,20.555419894830404,544.8697369949019,20.555419894830404
IPQ,4,2,視　触　,59.406秒,7,9,669,0,18.748114657266697,23.70848986594075,687.7481146572667,23.70848986594075
IPQ,4,2,視　触　,70.556秒,8,11,922,0,20.856551181323493,28.261546059191133,942.8565511813235,28.261546059191133
IPQ,4,2,視　触　,76.302秒,9,13,1053,0,22.25828666914082,30.349730966957615,1075.2582866691407,30.349730966957615
IPQ,4,2,視　触　,87.887秒,10,14,1337,0,24.345689012800023,35.057646541028845,1361.3456890128,35.057646541028845
IPQ,4,2,視　触　,95.522秒,11,16,1469,0,26.108994608207553,38.05662686790358,1495.1089946082075,38.05662686790358
IPQ,4,2,視　触　,101.611秒,12,19,1599,0,28.117254404410176,41.15970337735207,1627.1172544044102,41.15970337735207
IPQ,4,2,視　触　,110.271秒,13,20,1817,0,30.71335216997022,44.802168577624954,1847.7133521699702,44.802168577624954
IPQ,4,2,視　触　,120.243秒,14,21,2041,0,32.6733623941975,47.931898150463525,2073.6733623941973,47.931898150463525
IPQ,4,2,視　触　,130.569秒,15,24,2265,0,35.60656326491809,52.0193456899878,2300.606563264918,52.0193456899878
IPQ,4,2,視　触　,136.409秒,16,26,2393,0,36.91013470019384,54.528924712072566,2429.910134700194,54.528924712072566
IPQ,4,2,視　触　,142.184秒,17,27,2521,0,38.190045612532664,56.97362947011977,2559.1900456125327,56.97362947011977
IPQ,4,2,視　触　,147.1秒,18,28,2620,0,39.41908043638557,58.94143180867227,2659.4190804363857,58.94143180867227
IPQ,4,2,視　触　,158.589秒,19,29,2814,0,41.628456136087514,63.87265738107938,2855.6284561360876,63.87265738107938
IPQ,4,2,視　触　,166.130秒,20,30,2963,0,43.44648080737109,67.21222054628022,3006.4464808073712,67.21222054628022
IPQ,4,2,視　触　,173.715秒,21,31,3147,0,47.67592413537981,73.6540201335601,3194.67592413538,73.6540201335601
IPQ,4,2,視　触　,184.876秒,22,36,3352,0,57.62958333701246,85.53656573394866,3409.6295833370123,85.53656573394866
IPQ,4,2,視　触　,191.497秒,23,38,3503,0,60.046564317455285,88.48560581880076,3563.0465643174552,88.48560581880076
