type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視　　嗅,15.782秒,2,0,0,0,0,0,5.195744577646393,8.223261184982224
IPQ,1,2,視　　　,17.666秒,2,0,0,0,0,0,5.195744577646393,8.223261184982224
IPQ,1,2,視　　　,23.134秒,3,1,43,0,1.2969888544574917,2.6522205320918335,44.29698885445749,2.6522205320918335
IPQ,1,2,視　　　,30.242秒,4,2,196,0,2.8453997447762456,6.516505941395504,198.84539974477624,6.516505941395504
IPQ,1,2,視　　　,44.223秒,5,6,442,0,10.079716919890801,15.908092776674174,452.0797169198908,15.908092776674174
IPQ,1,2,視　　　,49.758秒,6,9,539,0,12.588966211622886,18.557551051632654,551.5889662116228,18.557551051632654
IPQ,1,2,視　　　,56.267秒,7,13,682,0,15.808114320478005,21.600068170680238,697.808114320478,21.600068170680238
IPQ,1,2,視　　　,62.377秒,8,14,828,0,18.357465786159715,24.916690018783648,846.3574657861598,24.916690018783648
IPQ,1,2,視　　　,68.4秒,9,18,984,0,20.625717032950313,27.261882337405204,1004.6257170329503,27.261882337405204
IPQ,1,2,視　　　,75.887秒,10,24,1153,0,28.536113459200344,33.15282027516059,1181.5361134592004,33.15282027516059
IPQ,1,2,視　　　,79.503秒,11,25,1244,0,30.247577566708873,35.250731154397215,1274.247577566709,35.250731154397215
IPQ,1,2,視　　　,83.981秒,12,26,1345,0,32.66318000367997,37.23536985193957,1377.66318000368,37.23536985193957
IPQ,1,2,視　　　,91.964秒,13,27,1586,0,36.33135221372407,41.65881336775768,1622.3313522137241,41.65881336775768
IPQ,1,2,視　　　,102.936秒,14,33,1825,0,44.21417879145373,49.121580207497914,1869.2141787914538,49.121580207497914
IPQ,1,2,視　　　,108.675秒,15,34,1935,0,54.41428468754971,61.81869242141854,1989.4142846875498,61.81869242141854
IPQ,1,2,視　　　,113.70秒,16,35,2027,0,60.44968945053163,66.31203516045035,2087.4496894505314,66.31203516045035
IPQ,1,2,視　　　,120.449秒,17,37,2206,0,63.61927142630185,69.68488765574857,2269.619271426302,69.68488765574857
IPQ,1,2,視　　　,129.434秒,18,41,2392,0,70.51040860298829,74.94609670920656,2462.5104086029883,74.94609670920656
IPQ,1,2,視　　　,137.300秒,19,42,2560,0,74.03678164956354,78.30049839334622,2634.0367816495636,78.30049839334622
IPQ,1,2,視　　　,147.287秒,20,51,2770,0,81.68305641364186,83.54929904775076,2851.6830564136417,83.54929904775076
IPQ,1,2,視　　　,155.546秒,21,55,2963,0,88.77882270815535,87.3906022441524,3051.7788227081555,87.3906022441524
IPQ,1,2,視　　　,163.972秒,22,60,3136,0,93.5465230951932,90.83838108396039,3229.546523095193,90.83838108396039
IPQ,1,2,視　　　,176.761秒,23,63,3388,0,98.39089786738046,95.96104654226656,3486.3908978673803,95.96104654226656
IPQ,1,2,視　　　,186.380秒,24,66,3643,0,102.88161859557026,100.64929590813585,3745.88161859557,100.64929590813585
IPQ,1,2,視　　　,199.306秒,25,75,3868,0,113.02748626178366,108.59103598872316,3981.0274862617835,108.59103598872316
