type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　嗅,3.446秒,2,2,0,0,0,0,383.24487304685704,217.33703613280355
IPQ,1,1,視聴　嗅,17.856秒,3,3,78,0,7.71789550781235,11.958618164062308,85.71789550781234,11.958618164062308
IPQ,1,1,視聴　嗅,30.421秒,4,5,264,0,11.00280761718706,19.824829101562017,275.00280761718705,19.824829101562017
IPQ,1,1,視聴　嗅,41.204秒,5,7,376,0,16.03454589843681,25.79589843749894,392.0345458984368,25.79589843749894
IPQ,1,1,視聴　嗅,57.470秒,6,11,617,0,23.58215332031076,39.122314453122584,640.5821533203108,39.122314453122584
IPQ,1,1,視聴　嗅,66.206秒,7,12,780,0,26.795654296872684,43.40148925780814,806.7956542968727,43.40148925780814
IPQ,1,1,視聴　嗅,82.191秒,8,18,889,0,34.42016601562153,57.13989257811902,923.4201660156216,57.13989257811902
IPQ,1,1,視聴　嗅,91.623秒,9,19,1056,0,37.548179614648944,61.92649841156452,1093.548179614649,61.92649841156452
IPQ,1,1,視聴　嗅,108.906秒,10,20,1346,0,47.427961968429074,73.9434483730304,1393.4279619684291,73.9434483730304
IPQ,1,1,視聴　嗅,128.139秒,11,23,1604,0,55.81054664670822,85.13854980288113,1659.8105466467082,85.13854980288113
IPQ,1,1,視聴　嗅,145.654秒,12,28,1792,0,64.46777216156156,98.06945505546673,1856.4677721615615,98.06945505546673
IPQ,1,1,視聴　嗅,155.240秒,13,29,1927,0,69.62036109973221,107.57263163975466,1996.6203610997322,107.57263163975466
IPQ,1,1,視聴　嗅,163.438秒,14,30,2057,0,75.26184059191807,116.389159711475,2132.261840591918,116.389159711475
IPQ,1,1,視聴　嗅,171.210秒,15,31,2218,0,84.75402809074724,126.37023881139257,2302.7540280907474,126.37023881139257
IPQ,1,1,視聴　嗅,181.71秒,16,34,2330,0,90.170285439824,132.55553817033731,2420.170285439824,132.55553817033731
IPQ,1,1,視聴　嗅,190.106秒,17,35,2536,0,94.13015449384073,138.09814080530896,2630.1301544938406,138.09814080530896
IPQ,1,1,視聴　嗅,198.389秒,18,36,2672,0,97.27777768042493,143.08593377248727,2769.277777680425,143.08593377248727
