type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　　,6.7秒,2,2,0,0,0,0,141.4214959435918,18.76348841362286
IPQ,1,1,視聴　　,21.118秒,3,4,52,0,3.9990234375353513,5.795288085989334,55.99902343753535,5.795288085989334
IPQ,1,1,視聴　　,33.851秒,4,5,188,0,6.751098632847718,9.481201171926852,194.75109863284771,9.481201171926852
IPQ,1,1,視聴　　,44.20秒,5,6,333,0,9.744873046893682,13.05175781252133,342.7448730468937,13.05175781252133
IPQ,1,1,視聴　　,56.585秒,6,8,512,0,13.304443359409806,18.171386718801713,525.3044433594098,18.171386718801713
IPQ,1,1,視聴　　,65.3秒,7,9,643,0,15.875244140658616,21.648559570363933,658.8752441406587,21.648559570363933
IPQ,1,1,視聴　　,81.969秒,8,11,830,0,21.417846679721148,29.855346679739007,851.4178466797212,29.855346679739007
IPQ,1,1,視聴　　,89.203秒,9,12,950,0,23.8183593750337,33.36547851567637,973.8183593750337,33.36547851567637
IPQ,1,1,視聴　　,94.768秒,10,13,1034,0,26.103515625033744,36.304321289113496,1060.1035156250337,36.304321289113496
IPQ,1,1,視聴　　,104.933秒,11,16,1213,0,29.5532226562838,41.7645263672376,1242.5532226562839,41.7645263672376
IPQ,1,1,視聴　　,113.634秒,12,18,1335,0,32.82714843753382,46.40075683598697,1367.8271484375339,46.40075683598697
IPQ,1,1,視聴　　,123.466秒,13,22,1512,0,35.71105957034546,50.37780761723649,1547.7110595703455,50.37780761723649
IPQ,1,1,視聴　　,132.400秒,14,25,1690,0,40.74829101565746,55.480957031298296,1730.7482910156575,55.480957031298296
IPQ,1,1,視聴　　,142.568秒,15,26,1864,0,42.93457031242056,58.70544433576358,1906.9345703124206,58.70544433576358
IPQ,1,1,視聴　　,156.337秒,16,27,2038,0,48.88916015628058,64.95666503910931,2086.8891601562805,64.95666503910931
IPQ,1,1,視聴　　,163.967秒,17,30,2182,0,52.00378417971767,67.49450683598326,2234.0037841797175,67.49450683598326
IPQ,1,1,視聴　　,170.818秒,18,31,2324,0,53.43200683596465,70.93322753910768,2377.432006835965,70.93322753910768
IPQ,1,1,視聴　　,178.120秒,19,32,2452,0,55.33841321610303,73.5385698031119,2507.338413216103,73.5385698031119
IPQ,1,1,視聴　　,185.817秒,20,35,2576,0,57.18933055562322,76.58569335555741,2633.189330555623,76.58569335555741
IPQ,1,1,視聴　　,193.891秒,21,39,2700,0,59.188841942891706,79.49707005137185,2759.1888419428915,79.49707005137185
