type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視　　嗅,2.327秒,2,0,0,0,0,0,2.186252331284507,1.9774711903336808
IPQ,1,1,視　　嗅,18.786秒,3,2,126,0,3.115996189274383,4.712448096649627,129.11599618927437,4.712448096649627
IPQ,1,1,視　　嗅,28.819秒,4,4,186,0,9.099766895380574,10.453491187459594,195.09976689538058,10.453491187459594
IPQ,1,1,視　　嗅,46.869秒,5,5,367,0,16.422597943423504,18.542752965804368,383.4225979434235,18.542752965804368
IPQ,1,1,視　　嗅,62.665秒,6,7,552,0,18.862489641143235,21.63205309758193,570.8624896411433,21.63205309758193
IPQ,1,1,視　　嗅,80.353秒,7,10,759,0,22.135931149748085,26.059529297973445,781.1359311497481,26.059529297973445
IPQ,1,1,視　　嗅,96.571秒,8,12,947,0,24.794618344183366,29.437719004399415,971.7946183441834,29.437719004399415
IPQ,1,1,視　　嗅,111.142秒,9,14,1132,0,27.755420188059613,33.090642601097194,1159.7554201880596,33.090642601097194
IPQ,1,1,視　　嗅,123.337秒,10,15,1265,0,30.68327621813381,36.91902944956871,1295.6832762181339,36.91902944956871
IPQ,1,1,視　　嗅,136.53秒,11,16,1450,0,33.07828880787026,40.16543630729608,1483.0782888078702,40.16543630729608
IPQ,1,1,視　　嗅,150.821秒,12,18,1630,0,35.27727294610658,43.37861180860351,1665.2772729461067,43.37861180860351
IPQ,1,1,視　　嗅,162.354秒,13,20,1756,0,37.16502996303772,45.91095097061461,1793.1650299630378,45.91095097061461
IPQ,1,1,視　　嗅,176.777秒,14,21,1938,0,39.45027840450213,49.22318324535691,1977.4502784045021,49.22318324535691
IPQ,1,1,視　　嗅,185.913秒,15,23,2071,0,41.482512050430635,52.02449963569168,2112.4825120504306,52.02449963569168
