type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴触嗅,2.933秒,2,0,0,0,0,0,0.3625488277089325,0.5438232421869977
IPQ,1,1,視聴触嗅,18.78秒,3,3,32,0,4.894409179687525,5.976562500000023,36.89440917968753,5.976562500000023
IPQ,1,1,視聴触嗅,26.327秒,4,4,166,0,6.295135011789943,8.003512135470656,172.29513501178994,8.003512135470656
IPQ,1,1,視聴触嗅,34.778秒,5,5,310,0,8.11340275071328,10.01403757656406,318.1134027507133,10.01403757656406
IPQ,1,1,視聴触嗅,45.926秒,6,7,444,0,10.22277787484422,12.886962422354344,454.2227778748442,12.886962422354344
IPQ,1,1,視聴触嗅,58.997秒,7,9,573,0,12.88691598578356,15.715849007460273,585.8869159857836,15.715849007460273
IPQ,1,1,視聴触嗅,71.676秒,8,11,802,0,15.303217239181363,18.054559168113112,817.3032172391813,18.054559168113112
IPQ,1,1,視聴触嗅,82.264秒,9,12,943,0,16.8365432615061,20.401606705827202,959.8365432615061,20.401606705827202
IPQ,1,1,視聴触嗅,92.28秒,10,14,1090,0,18.286738574008417,22.36265930025203,1108.2867385740085,22.36265930025203
IPQ,1,1,視聴触嗅,102.228秒,11,15,1234,0,19.819331347444045,24.362177994164146,1253.819331347444,24.362177994164146
IPQ,1,1,視聴触嗅,114.228秒,12,17,1355,0,22.16491240213176,27.119746353407628,1377.1649124021317,27.119746353407628
IPQ,1,1,視聴触嗅,125.862秒,13,18,1519,0,24.75356596658486,29.2634536142915,1543.7535659665848,29.2634536142915
IPQ,1,1,視聴触嗅,133.796秒,14,19,1649,0,25.449823184285485,30.717767014029658,1674.4498231842854,30.717767014029658
IPQ,1,1,視聴触嗅,144.868秒,15,20,1835,0,26.801106538888767,32.552483755633915,1861.8011065388887,32.552483755633915
IPQ,1,1,視聴触嗅,155.846秒,16,21,2016,0,28.921467645934733,35.100256254150615,2044.9214676459346,35.100256254150615
IPQ,1,1,視聴触嗅,166.575秒,17,23,2141,0,30.58452306568605,37.382322598523025,2171.584523065686,37.382322598523025
IPQ,1,1,視聴触嗅,183.361秒,18,29,2310,0,34.83538496102195,41.466097010671795,2344.835384961022,41.466097010671795
IPQ,1,1,視聴触嗅,197.693秒,19,32,2462,0,37.7555128790874,45.10080231431707,2499.7555128790873,45.10080231431707
IPQ,1,1,視聴触嗅,205.917秒,20,33,2601,0,39.240205502435856,47.284462240901554,2640.240205502436,47.284462240901554
IPQ,1,1,視聴触嗅,213.899秒,21,35,2689,0,40.540070076569414,49.64874242835135,2729.5400700765695,49.64874242835135
IPQ,1,1,視聴触嗅,225.620秒,22,36,2873,0,42.00537160501279,51.68397171197233,2915.005371605013,51.68397171197233
