type,pattern,area,condition,startTime,moveCnt,missCnt,yawCon,pitchCon,yawGyro,pitchGyro,totalYaw,totalPitch
IPQ,1,1,視聴　嗅,1.995秒,1,1,0,0,0,0,0,0
IPQ,1,2,視聴触　,12.46秒,1,1,0,0,0,0,0,0
IPQ,2,1,視聴触嗅,17.263秒,1,1,0,0,0,0,0,0
IPQ,2,1,視聴触嗅,23.705秒,2,2,74,0,2.29544026683379,2.6916173198675626,76.2954402668338,2.6916173198675626
IPQ,2,1,視聴触嗅,32.704秒,3,4,244,0,6.920689910900555,9.821777342504216,250.92068991090056,9.821777342504216
IPQ,2,1,視聴触嗅,39.475秒,4,5,329,0,16.495274870838802,15.518188475316055,345.4952748708388,15.518188475316055
IPQ,2,1,視聴触嗅,48.221秒,5,7,506,0,20.587682097367956,19.868774412306216,526.587682097368,19.868774412306216
IPQ,2,1,視聴触嗅,56.687秒,6,10,652,0,25.81168110117586,24.691424452390102,677.8116811011759,24.691424452390102
IPQ,2,1,視聴触嗅,64.37秒,7,12,794,0,29.343785593361268,28.635516248843892,823.3437855933613,28.635516248843892
IPQ,2,1,視聴触嗅,68.756秒,8,13,878,0,30.856314907601867,30.690915794776824,908.8563149076018,30.690915794776824
IPQ,2,1,視聴触嗅,75.318秒,9,14,1024,0,32.73786404010762,33.12343114281566,1056.7378640401075,33.12343114281566
IPQ,2,1,視聴触嗅,82.106秒,10,15,1177,0,34.52314207602087,35.891985685766386,1211.5231420760208,35.891985685766386
IPQ,2,1,視聴触嗅,89.621秒,11,17,1331,0,37.03351778730364,39.385637941370426,1368.0335177873037,39.385637941370426
IPQ,2,1,視聴触嗅,97.542秒,12,18,1516,0,39.79108641065039,43.104510062316095,1555.7910864106505,43.104510062316095
IPQ,2,1,視聴触嗅,106.37秒,13,21,1655,0,42.75190182984993,47.449602835910426,1697.7519018298499,47.449602835910426
IPQ,2,1,視聴触嗅,112.709秒,14,22,1794,0,44.45478154417803,49.94897827990844,1838.454781544178,49.94897827990844
IPQ,2,1,視聴触嗅,119.106秒,15,23,1931,0,46.25103225205651,52.51976047985172,1977.2510322520566,52.51976047985172
IPQ,2,1,視聴触嗅,123.873秒,16,24,2024,0,47.69574800303223,54.782962304593184,2071.6957480030323,54.782962304593184
IPQ,2,1,視聴触嗅,132.745秒,17,25,2206,0,50.942208312709,58.908328856227456,2256.942208312709,58.908328856227456
IPQ,2,1,視聴触嗅,138.258秒,18,26,2300,0,53.54332799874459,62.113697375491014,2353.5433279987446,62.113697375491014
IPQ,2,1,視聴触嗅,146.86秒,19,27,2467,0,55.858588580783106,65.81321498110877,2522.858588580783,65.81321498110877
IPQ,2,1,視聴触嗅,155.907秒,20,30,2621,0,58.522757721830175,70.34486493885876,2679.52275772183,70.34486493885876
IPQ,2,1,視聴触嗅,162.959秒,21,31,2780,0,60.25161119333694,73.06793736870989,2840.251611193337,73.06793736870989
IPQ,2,1,視聴触嗅,171.967秒,22,33,2965,0,62.65220155230041,76.93047613438134,3027.6522015523005,76.93047613438134
IPQ,2,1,視聴触嗅,180.337秒,23,35,3120,0,65.26997919658875,80.82406192198884,3185.269979196589,80.82406192198884
IPQ,2,1,視聴触嗅,188.4秒,24,37,3264,0,68.19705033254544,85.19193551337376,3332.1970503325456,85.19193551337376
IPQ,2,1,視聴触嗅,195.251秒,25,38,3415,0,71.04172090819927,89.37850890373024,3486.0417209081993,89.37850890373024
IPQ,2,1,視聴触嗅,204.72秒,26,39,3606,0,74.21494077821583,92.91108378260371,3680.214940778216,92.91108378260371
